PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Agonist Activity,Agonist Potency (uM),Agonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source,OPENADMET_CANONICAL_SMILES,INCHIKEY
1684,144213964.0,7381.0,CC(C)(C)C1=CC(=C(C=C1)O)O,Active,43.0,,,active agonist,active agonist,46.01020338,110.3461879,inactive,,0,Enamine,CC(C)(C)C1=CC=C(O)C(O)=C1,XESZUVZBAMCAEJ-UHFFFAOYSA-N
1685,144213809.0,4616.0,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,Active,43.0,,,active agonist,active agonist,46.06561069,88.3617419,inactive,,0,SIGMA,O=C1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1O,AQKCJDFMDAPELP-UHFFFAOYSA-N
1686,144213649.0,10377.0,CCCCCC1=CC(=CC(=C1)O)O,Active,43.0,,,active agonist,active agonist,46.7295654,88.80283603,inactive,,0,SIGMA,CCCCCC1=CC(O)=CC(O)=C1,IRMPFYJSHJGOPE-UHFFFAOYSA-N
1687,144213859.0,23668568.0,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=N[N-]5)N=CC=C2.[Na+],Active,43.0,,,active agonist,active agonist,46.7295654,87.54639009,inactive,,0,Astellas Pharma,CCCCC1=NC2=CC=CN=C2N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,YILJWHUIUCRKEU-UHFFFAOYSA-N
1688,144207513.0,1548943.0,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,Active,43.0,,,active agonist,active agonist,47.27668004,94.07786402,inactive,,0,SIGMA,COC1=CC(CNC(=O)CCCC/C=C/C(C)C)=CC=C1O,YKPUWZUDDOIDPM-SOFGYWHQSA-N
1689,144211983.0,6621.0,C1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)Cl,Active,43.0,,,active agonist,active agonist,48.5577337,94.7814876,inactive,,0,SIGMA,O=S(=O)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,OFCFYWOKHPOXKF-UHFFFAOYSA-N
1690,144213242.0,727.0,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Active,43.0,,,active agonist,active agonist,48.5577337,91.96048168,inactive,,0,SIGMA,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N
1691,144213133.0,4114.0,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,Active,43.0,,,active agonist,active agonist,48.5577337,93.92941406,inactive,,0,LightBiologicals,COC1=C2OC=CC2=CC2=C1OC(=O)C=C2,QXKHYNVANLEOEG-UHFFFAOYSA-N
1692,144212952.0,5355858.0,CC(=CCCC(C)(C=C)OC(=O)/C=C/C1=CC=CC=C1)C,Active,43.0,,,active agonist,active agonist,48.5577337,92.48702597,inactive,,0,MP Biomedicals,C=CC(C)(CCC=C(C)C)OC(=O)/C=C/C1=CC=CC=C1,DPFUEXLIKDHJNB-BUHFOSPRSA-N
1693,144208431.0,8640.0,C1=CC=C2C(=C1)C=CC=C2N,Active,43.0,,,active agonist,active agonist,48.85416862,101.2495833,inactive,,0,SigmaAldrich,NC1=CC=CC2=CC=CC=C12,RUFPHBVGCFYCNW-UHFFFAOYSA-N
1694,144207256.0,7248.0,CC1=C(C=C(C=C1)N)C,Active,43.0,,,active agonist,active agonist,48.95304701,130.2228306,inactive,,0,SIGMA,CC1=CC=C(N)C=C1C,DOLQYFPDPKPQSS-UHFFFAOYSA-N
1695,144214027.0,43704.0,CC(C)OC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)OC(C)C,Active,43.0,,,active agonist,active agonist,49.03484412,103.7105677,inactive,,0,LightBiologicals,CC(C)OC(=O)C1=CC(C(=O)OC(C)C)=CC([N+](=O)[O-])=C1,VJAWBEFMCIINFU-UHFFFAOYSA-N
1696,144210187.0,7381.0,CC(C)(C)C1=CC(=C(C=C1)O)O,Active,43.0,,,active agonist,active agonist,50.19182198,97.90743617,inactive,,0,SIGMA,CC(C)(C)C1=CC=C(O)C(O)=C1,XESZUVZBAMCAEJ-UHFFFAOYSA-N
1697,144210775.0,9949821.0,CC(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=C(C=CC(=C4)F)F,Active,43.0,,,active agonist,active agonist,50.45742403,98.11147511,inactive,,0,Pfizer,CC(C)C1=NN=C2C=CC(C3=C(C4=CC(F)=CC=C4F)N=CO3)=CN12,UACOXBQBNWQWOK-UHFFFAOYSA-N
1698,144213078.0,5881.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,Active,43.0,,,active agonist,active agonist,50.45742403,98.25110678,inactive,,0,SIGMA,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,FMGSKLZLMKYGDP-USOAJAOKSA-N
1699,144213950.0,1752.0,CCCCCCCCCC1=CC=C(C=C1)O,Active,43.0,,,active agonist,active agonist,50.45742403,107.2554893,inconclusive antagonist,61.1306,-108.362,LightBiologicals,CCCCCCCCCC1=CC=C(O)C=C1,IGFHQQFPSIBGKE-UHFFFAOYSA-N
1700,144209467.0,6128.0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,Active,43.0,,,active agonist,active agonist,50.54703177,109.0203384,inactive,,0,SIGMA,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,AEMFNILZOJDQLW-QAGGRKNESA-N
1701,144208965.0,4114.0,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,Active,43.0,,,active agonist,active agonist,50.76545617,122.337311,inactive,,0,SIGMA,COC1=C2OC=CC2=CC2=C1OC(=O)C=C2,QXKHYNVANLEOEG-UHFFFAOYSA-N
1702,144209265.0,13690.0,C1CCCCCC(=O)NCCCCC1,Active,43.0,,,active agonist,active agonist,51.33036447,100.4522045,inconclusive antagonist,,,SigmaAldrich,O=C1CCCCCCCCCCCN1,JHWNWJKBPDFINM-UHFFFAOYSA-N
1703,144213115.0,108938.0,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl,Active,43.0,,,active agonist,active agonist,51.4349603,104.5675845,inactive,,0,LightBiologicals,CC1=CC(C2=CC=C(N)C(C)=C2)=CC=C1N,NUIURNJTPRWVAP-UHFFFAOYSA-N
1704,144207765.0,17321.0,CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,Active,43.0,,,active agonist,active agonist,51.59192042,140.6654364,inactive,,0,SIGMA,CC1=CC=C2C(=C1)C=CC1=CC=CC=C12,KANLOADZXMMCQA-UHFFFAOYSA-N
1705,144209203.0,991.0,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],Active,43.0,,,active agonist,active agonist,52.06327769,115.6268279,inactive,,0,SigmaAldrich,CCOP(=S)(OCC)OC1=CC=C([N+](=O)[O-])C=C1,LCCNCVORNKJIRZ-UHFFFAOYSA-N
1706,144213797.0,73852.0,C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,Active,43.0,,,active agonist,active agonist,52.43143474,142.7759456,inactive,,0,SIGMA,O=C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1O,OKJFKPFBSPZTAH-UHFFFAOYSA-N
1707,144208698.0,41206.0,CC1=CC(=CC(=C1N)C)C2=CC(=C(C(=C2)C)N)C,Active,43.0,,,active agonist,active agonist,52.53809301,128.7652296,inactive,,0,SIGMA,CC1=C(N)C(C)=CC(C2=CC(C)=C(N)C(C)=C2)=C1,UAIUNKRWKOVEES-UHFFFAOYSA-N
1708,144207860.0,67349.0,C[Si](C1=CC=CC=C1)(C2=CC=CC=C2)Cl,Active,43.0,,,active agonist,active agonist,53.10047194,111.4975269,inactive,,0,SigmaAldrich,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,OJZNZOXALZKPEA-UHFFFAOYSA-N
1709,144208743.0,7271.0,C1=C(C(=CC(=C1Cl)Cl)Cl)O,Active,43.0,,,active agonist,active agonist,54.03972546,110.6305333,active antagonist,66.3451,-69.6063,SIGMA,OC1=CC(Cl)=C(Cl)C=C1Cl,LHJGJYXLEPZJPM-UHFFFAOYSA-N
1710,144210544.0,53316396.0,C1=CC(=CC(=C1)C2=N[N-]C(=N2)C(=O)N)C3=C(C=CC(=C3)F)OCC(C(F)(F)F)(F)F.O.[K+],Active,43.0,,,active agonist,active agonist,54.48267331,110.7563302,active antagonist,50.4574,-85.1535,Pharma,NC(=O)C1=NNC(C2=CC=CC(C3=CC(F)=CC=C3OCC(F)(F)C(F)(F)F)=C2)=N1,OWSLGPREZQMVQP-UHFFFAOYSA-N
1711,144210412.0,17593.0,CC1=C(C(=CC=C1)N)N,Active,43.0,,,active agonist,active agonist,54.48267331,140.0516499,inactive,,0,SIGMA,CC1=CC=CC(N)=C1N,AXNUJYHFQHQZBE-UHFFFAOYSA-N
1712,144213108.0,9903.0,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,Active,43.0,,,active agonist,active agonist,54.48267331,128.7866459,inconclusive antagonist,69.6834,-34.9418,SIGMA,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,SMEROWZSTRWXGI-HVATVPOCSA-N
1713,144213224.0,22584.0,C1=CC(=C(C=C1N)Cl)N.OS(=O)(=O)O,Active,43.0,,,active agonist,active agonist,54.48267331,117.0586181,inconclusive antagonist,68.5896,-70.3123,SIGMA,NC1=CC=C(N)C(Cl)=C1,MGLZGLAFFOMWPB-UHFFFAOYSA-N
1714,144212773.0,5320128.0,CC(=CCC/C(=C\CCC(C)(C=C)O)/C)C,Active,43.0,,,active agonist,active agonist,54.48267331,120.5528699,inactive,,0,SIGMA,C=CC(C)(O)CC/C=C(/C)CCC=C(C)C,FQTLCLSUCSAZDY-KAMYIIQDSA-N
1715,251919749.0,23663539.0,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[O-].[Na+],Active,43.0,,,active agonist,active agonist,54.48267331,145.6913927,inconclusive antagonist,48.5577,-60.2715,Sigma Chemical Company,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,IZUPBVBPLAPZRR-UHFFFAOYSA-N
1716,251919751.0,9827529.0,C1=CC(=CC(=C1)C(F)(F)F)/C(=N\NC(=O)NC2=CC=C(C=C2)OC(F)(F)F)/CC3=CC=C(C=C3)C#N,Active,43.0,,,active agonist,active agonist,54.48267331,114.2859625,inactive,,0,Sigma Chemical Company,N#CC1=CC=C(C/C(=N/NC(=O)NC2=CC=C(OC(F)(F)F)C=C2)C2=CC=CC(C(F)(F)F)=C2)C=C1,MIFOMMKAVSCNKQ-HWIUFGAZSA-N
1717,144208820.0,9275.0,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,Active,43.0,,,active agonist,active agonist,54.59350429,126.3650742,inconclusive antagonist,48.6565,-51.4039,SigmaAldrich,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,SEGLCEQVOFDUPX-UHFFFAOYSA-N
1718,144208612.0,13263.0,CCNC1=NC(=NC(=N1)SC)NC(C)C,Active,43.0,,,active agonist,active agonist,54.81527876,117.6727694,inactive,,0,SigmaAldrich,CCNC1=NC(NC(C)C)=NC(SC)=N1,RQVYBGPQFYCBGX-UHFFFAOYSA-N
1719,144209390.0,87984.0,CCN(CCN)C1=CC=CC(=C1)C,Active,43.0,,,active agonist,active agonist,54.98170787,149.792765,inactive,,0,Sensient,CCN(CCN)C1=CC=CC(C)=C1,FTMVEUXYYDLYFH-UHFFFAOYSA-N
1720,144207687.0,146540.0,C1=CC=C(C=C1)CNN.Cl.Cl,Active,43.0,,,active agonist,active agonist,55.48149845,153.9479825,inactive,,0,SigmaAldrich,NNCC1=CC=CC=C1,NHOWLEZFTHYCTP-UHFFFAOYSA-N
1721,144207536.0,2391.0,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,Active,43.0,,,active agonist,active agonist,56.26889453,116.2768756,inactive,,0,SIGMA,CC(=O)OC1=CC=C(C(C2=CC=C(OC(C)=O)C=C2)C2=CC=CC=N2)C=C1,KHOITXIGCFIULA-UHFFFAOYSA-N
1722,144208168.0,18728.0,C1CC(C(CC1C(CBr)Br)Br)Br,Active,43.0,,,active agonist,active agonist,56.32641453,135.7551123,inactive,,0,SIGMA,BrCC(Br)C1CCC(Br)C(Br)C1,PQRRSJBLKOPVJV-UHFFFAOYSA-N
1723,144213070.0,16560.0,CC(=C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,Active,43.0,,,active agonist,active agonist,56.38394425,117.5216616,inactive,,0,Crescent,C=C(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,VCBRBUKGTWLJOB-UHFFFAOYSA-N
1724,144208191.0,8569.0,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,Active,43.0,,,active agonist,active agonist,56.44148374,131.2164308,inconclusive antagonist,64.5553,-42.2284,SigmaAldrich,COC1=CC=C(C(=O)C2=CC=CC=C2O)C(O)=C1,MEZZCSHVIGVWFI-UHFFFAOYSA-N
1725,144213675.0,62306.0,CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl,Active,43.0,,,active agonist,active agonist,56.55659216,145.184578,active antagonist,54.4273,-60.0341,Crescent,CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl,PFJJMJDEVDLPNE-UHFFFAOYSA-N
1726,144213385.0,16230.0,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,Active,43.0,,,active agonist,active agonist,56.5595769,135.7367397,active antagonist,47.4518,-54.9569,SIGMA,N=C(N)NC(=O)C1=NC(Cl)=C(N)N=C1N,XSDQTOBWRPYKKA-UHFFFAOYSA-N
1727,144208207.0,7563.0,C1=CC=C(C=C1)CC2=CC=C(C=C2)O,Active,43.0,,,active agonist,active agonist,56.5595769,155.7706409,inactive,,0,SigmaAldrich,OC1=CC=C(CC2=CC=CC=C2)C=C1,HJSPWKGEPDZNLK-UHFFFAOYSA-N
1728,144209163.0,2268.0,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,Active,43.0,,,active agonist,active agonist,56.59768452,158.6699419,inactive,,0,SIGMA,COP(=S)(OC)SCN1N=NC2=CC=CC=C2C1=O,CJJOSEISRRTUQB-UHFFFAOYSA-N
1729,144210542.0,10233356.0,CCC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)CN4CCN(CC4)C5=CC=C(C=C5)OC)OCC(=O)O,Active,43.0,,,active agonist,active agonist,56.61416092,149.8635858,active antagonist,56.6142,-107.916,Pharma,CCC1=CC(SCC2=C(CN3CCN(C4=CC=C(OC)C=C4)CC3)N=C(C3=CC=C(C(F)(F)F)C=C3)S2)=CC=C1OCC(=O)O,CESIUPFUCGHEPP-UHFFFAOYSA-N
1730,144211051.0,25152.0,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=CC=CC=C4C(=C3O)Br,Active,43.0,,,active agonist,active agonist,56.61416092,139.9824605,inactive,,0,LightBiologicals,O=C1C2=CC=CC=C2C(=O)C1C1=NC2=CC=CC=C2C(Br)=C1O,DVBLPJWQXDCAKU-UHFFFAOYSA-N
1731,144213051.0,7103.0,C1=CC=C(C=C1)C2=CC=C(C=C2)O,Active,43.0,,,active agonist,active agonist,56.61416092,152.9871598,inactive,,0,SIGMA,OC1=CC=C(C2=CC=CC=C2)C=C1,YXVFYQXJAXKLAK-UHFFFAOYSA-N
1732,251919827.0,608116.0,CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Active,43.0,,,active agonist,active agonist,56.61416092,140.3396594,inactive,,0,MRIGlobal,CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,HCNHNBLSNVSJTJ-UHFFFAOYSA-N
1733,144212831.0,23666110.0,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)[O-])N)I)I)O.[Na+],Active,43.0,,,active agonist,active agonist,56.74372669,135.8497643,inactive,,0,SIGMA,N[C@@H](CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)O,AUYYCJSJGJYCDS-LBPRGKRZSA-N
1734,144208361.0,12111.0,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,Active,43.0,,,active agonist,active agonist,57.0750624,138.3631387,inactive,,0,SigmaAldrich,OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,PXKLMJQFEQBVLD-UHFFFAOYSA-N
1735,144210401.0,16043.0,CC(C)(C)C1=C(C=CC(=C1)O)O,Active,43.0,,,active agonist,active agonist,57.71097466,124.2456684,inactive,,0,SIGMA,CC(C)(C)C1=CC(O)=CC=C1O,BGNXCDMCOKJUMV-UHFFFAOYSA-N
1736,144213412.0,5281226.0,C/C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C(=O)OC)/C=C/C=C(\C)/C=C/C(=O)O,Active,43.0,,,active agonist,active agonist,57.71097466,147.4061865,inactive,,0,LightBiologicals,COC(=O)/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C(=O)O,RAFGELQLHMBRHD-SLEZCNMESA-N
1737,144208887.0,54677470.0,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,Active,43.0,,,active agonist,active agonist,57.82837279,137.6341262,active antagonist,59.5334,-34.517,Sensient,CC1=CN=C(NC(=O)C2C(=O)C3=CC=CC=C3S(=O)(=O)N2C)S1,ZAHQBPYQBHTECE-UHFFFAOYSA-N
1738,144208793.0,3346.0,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,Active,43.0,,,active agonist,active agonist,58.17156489,131.8748787,inactive,,0,SigmaAldrich,COP(=S)(OC)OC1=CC=C(SC)C(C)=C1,PNVJTZOFSHSLTO-UHFFFAOYSA-N
1739,144208782.0,20087.0,CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,Active,43.0,,,active agonist,active agonist,58.29836218,145.5819674,inconclusive antagonist,,,Sensient,CCC1=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C1,BVUXDWXKPROUDO-UHFFFAOYSA-N
1740,144209414.0,62306.0,CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl,Active,43.0,,,active agonist,active agonist,58.70940541,141.1865624,active antagonist,41.4655,-64.8006,SIGMA,CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl,PFJJMJDEVDLPNE-UHFFFAOYSA-N
1741,144209191.0,7814.0,C1=CC(=CC=C1N)N,Active,43.0,,,active agonist,active agonist,59.06842296,129.0934444,active antagonist,40.6145,-55.4003,SigmaAldrich,NC1=CC=C(N)C=C1,CBCKQZAAMUWICA-UHFFFAOYSA-N
1742,144209547.0,10377.0,CCCCCC1=CC(=CC(=C1)O)O,Active,43.0,,,active agonist,active agonist,59.06842296,136.1847699,inactive,,0,SIGMA,CCCCCC1=CC(O)=CC(O)=C1,IRMPFYJSHJGOPE-UHFFFAOYSA-N
1743,144209636.0,15787.0,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl,Active,43.0,,,active agonist,active agonist,59.12829472,125.4578872,inactive,,0,SIGMA,O=[N+]([O-])C1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,XITQUSLLOSKDTB-UHFFFAOYSA-N
1744,144208714.0,16560.0,CC(=C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,Active,43.0,,,active agonist,active agonist,59.42780464,154.4916572,active antagonist,64.6305,-34.6881,ChemService,C=C(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,VCBRBUKGTWLJOB-UHFFFAOYSA-N
1745,144207268.0,15752.0,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-],Active,43.0,,,active agonist,active agonist,59.48773686,133.7204464,active antagonist,45.4738,-38.2166,SIGMA,NC1=C(Br)C=C([N+](=O)[O-])C=C1[N+](=O)[O-],KWMDHCLJYMVBNS-UHFFFAOYSA-N
1746,144209329.0,992.0,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,Active,43.0,,,active agonist,active agonist,59.88934827,162.7399127,inconclusive antagonist,56.5392,-69.1659,SIGMA,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,IZUPBVBPLAPZRR-UHFFFAOYSA-N
1747,144208483.0,8572.0,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,Active,43.0,,,active agonist,active agonist,59.9675565,172.2046952,active antagonist,70.2083,-51.7789,SigmaAldrich,O=C(C1=CC=CC=C1)C1=CC=C(O)C=C1O,ZXDDPOHVAMWLBH-UHFFFAOYSA-N
1748,144208975.0,727.0,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Active,43.0,,,active agonist,active agonist,60.02757914,178.2183948,inactive,,0,SigmaAldrich,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N
1749,144208102.0,17231.0,CCCCCCCCOC1=CC=C(C=C1)C(=O)O,Active,43.0,,,active agonist,active agonist,60.44737043,143.3938049,active antagonist,62.8122,-37.3546,SIGMA,CCCCCCCCOC1=CC=C(C(=O)O)C=C1,IALWCYFULVHLEC-UHFFFAOYSA-N
1750,144209641.0,8411.0,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,Active,43.0,,,active agonist,active agonist,60.44737043,155.1455064,inactive,,0,SIGMA,COC1=CC(C2=CC=C(N)C(OC)=C2)=CC=C1N,JRBJSXQPQWSCCF-UHFFFAOYSA-N
1751,144207467.0,700999.0,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,Active,43.0,,,active agonist,active agonist,60.71240208,168.1082517,inactive,,0,SIGMA,S=C(NC1=CC=CC=C1)NC1=CC=CC=C1,FCSHMCFRCYZTRQ-UHFFFAOYSA-N
1752,144212327.0,6436633.0,C/C=C\C/C=C/CCCCCCCCOC(=O)C,Active,43.0,,,active agonist,active agonist,61.13056489,156.2044542,inactive,,0,LightBiologicals,C/C=C\C/C=C/CCCCCCCCOC(C)=O,ZZGJZGSVLNSDPG-WWVFNRLHSA-N
1753,144211871.0,10234.0,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC(=O)C=C(C)C,Active,43.0,,,active agonist,active agonist,61.13056489,165.6726444,active antagonist,27.306,-84.7529,LightBiologicals,CCC(C)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1OC(=O)C=C(C)C,ZRDUSMYWDRPZRM-UHFFFAOYSA-N
1754,144212640.0,85979.0,CC(CC=O)C1=CC=CC=C1,Active,43.0,,,active agonist,active agonist,61.13056489,135.7095662,inactive,,0,SIGMA,CC(CC=O)C1=CC=CC=C1,MYHGOWDLVRDUFA-UHFFFAOYSA-N
1755,144210183.0,8425.0,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,Active,43.0,,,active agonist,active agonist,61.13056489,138.5088614,inconclusive antagonist,61.1306,-117.762,McKesson Chemical,OC1=CC=C(Cl)C=C1CC1=CC=CC=C1,NCKMMSIFQUPKCK-UHFFFAOYSA-N
1756,251919990.0,14178379.0,C1=CC=C(C=C1)COC2=CC=C(C=C2)S(=O)(=O)C3=CC=CC=C3O,Active,43.0,,,active agonist,active agonist,61.13056489,169.6953496,active antagonist,61.1306,-74.145,MRIGlobal,O=S(=O)(C1=CC=C(OCC2=CC=CC=C2)C=C1)C1=CC=CC=C1O,OAHRHEHKTRXORG-UHFFFAOYSA-N
1757,251919672.0,727.0,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Active,43.0,,,active agonist,active agonist,61.13056489,149.0638407,active antagonist,61.1306,-45.0166,Sigma Chemical Company,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N
1758,144210990.0,5281162.0,CCCCC/C=C\C=C\C(=O)OCC,Active,43.0,,,active agonist,active agonist,61.29035404,166.9145843,active antagonist,71.4593,-46.0708,SIGMA,CCCCC/C=C\C=C\C(=O)OCC,OPCRGEVPIBLWAY-QNRZBPGKSA-N
1759,144207903.0,10236.0,C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,Active,43.0,,,active agonist,active agonist,61.44152974,147.3548523,active antagonist,54.7598,-39.914,SIGMA,O=C1C2=CC=CC=C2C(=O)C1(O)O,FEMOMIGRRWSMCU-UHFFFAOYSA-N
1760,144209418.0,7103.0,C1=CC=C(C=C1)C2=CC=C(C=C2)O,Active,43.0,,,active agonist,active agonist,62.68327718,170.0435005,inconclusive antagonist,69.2217,-40.2577,SIGMA,OC1=CC=C(C2=CC=CC=C2)C=C1,YXVFYQXJAXKLAK-UHFFFAOYSA-N
1761,144209994.0,51040.0,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,Active,43.0,,,active agonist,active agonist,63.33140968,186.5372811,inactive,,0,TCI,COC1=CC=C(C(=O)CC(=O)C2=CC=C(C(C)(C)C)C=C2)C=C1,XNEFYCZVKIDDMS-UHFFFAOYSA-N
1762,144209129.0,6028.0,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,Active,43.0,,,active agonist,active agonist,63.37239536,148.9378557,active antagonist,71.0014,-53.5997,SigmaAldrich,OC1=C(Cl)C=C(Cl)C(Cl)=C1Cl,VGVRPFIJEJYOFN-UHFFFAOYSA-N
1763,144210592.0,61253.0,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,Active,43.0,,,active agonist,active agonist,64.75277858,173.3886661,active antagonist,61.1306,-80.8211,LightBiologicals,CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,NRPKURNSADTHLJ-UHFFFAOYSA-N
1764,144213976.0,15730.0,CCCCCCCCC1=CC=C(C=C1)O,Active,43.0,,,active agonist,active agonist,64.75451397,180.8400021,active antagonist,62.0116,-89.6927,SIGMA,CCCCCCCCC1=CC=C(O)C=C1,NTDQQZYCCIDJRK-UHFFFAOYSA-N
1765,144208584.0,16230.0,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,Active,43.0,,,active agonist,active agonist,65.1480809,164.5197651,active antagonist,54.8153,-60.7934,SIGMA,N=C(N)NC(=O)C1=NC(Cl)=C(N)N=C1N,XSDQTOBWRPYKKA-UHFFFAOYSA-N
1766,144208439.0,1752.0,CCCCCCCCCC1=CC=C(C=C1)O,Active,43.0,,,active agonist,active agonist,65.41183823,169.9790472,inconclusive antagonist,61.7528,-116.233,SIGMA,CCCCCCCCCC1=CC=C(O)C=C1,IGFHQQFPSIBGKE-UHFFFAOYSA-N
